code,name,grupoCode
2367,Impuesto a las ventas retenido,23
2368,Impuesto de industria y comercio retenido,23
2370,Retenciones y aportes de nómina,23
2375,Cuotas por devolver,23
2380,Acreedores varios,23
2404,De renta y complementarios,24
2408,Impuesto sobre las ventas por pagar,24
2412,De industria y comercio,24
2416,A la propiedad raíz,24
2420,Derechos sobre instrumentos públicos,24
2424,De valorización,24
2428,De turismo,24
2432,Tasa por utilización de puertos,24
2436,De vehículos,24
2440,De espectáculos públicos,24
2444,De hidrocarburos y minas,24
2448,Regalías e impuestos a la pequeña y mediana minería,24
2452,A las exportaciones cafeteras,24
2456,A las importaciones,24
2460,Cuotas de fomento,24
2464,"De licores, cervezas y cigarrillos",24
2468,Al sacrificio de ganado,24
2472,Al azar y juegos,24
2476,Gravámenes y regalías por utilización del suelo,24
2495,Otros,24
2505,Salarios por pagar,25
2510,Cesantías consolidadas,25
2515,Intereses sobre cesantías,25
2520,Prima de servicios,25
2525,Vacaciones consolidadas,25
2530,Prestaciones extralegales,25
2532,Pensiones por pagar,25
2535,Cuotas partes pensiones de jubilación,25
2540,Indemnizaciones laborales,25
2605,Para costos y gastos,26
2610,Para obligaciones laborales,26
2615,Para obligaciones fiscales,26
2620,Pensiones de jubilación,26
2625,Para obras de urbanismo,26
2630,Para mantenimiento y reparaciones,26
2635,Para contingencias,26
2640,Para obligaciones de garantías,26
2695,Provisiones diversas,26
2705,Ingresos recibidos por anticipado,27
2710,Abonos diferidos,27
2715,Utilidad diferida en ventas a plazos,27
2720,Crédito por corrección monetaria diferida,27
2725,Impuestos diferidos,27
2805,Anticipos y avances recibidos,28
2810,Depósitos recibidos,28
2815,Ingresos recibidos para terceros,28
2820,Cuentas de operación conjunta,28
2825,Retenciones a terceros sobre contratos,28
2830,Embargos judiciales,28
2835,Acreedores del sistema,28
2840,Cuentas en participación,28
2895,Diversos,28
2905,Bonos en circulación,29
2910,Bonos obligatoriamente convertibles en acciones,29
2915,Papeles comerciales,29
2920,Bonos pensionales,29
2925,Títulos pensionales,29
3105,Capital suscrito y pagado,31
3115,Aportes sociales,31
3120,Capital asignado,31
3125,Inversión suplementaria al capital asignado,31
3130,Capital de personas naturales,31
3135,Aportes del Estado,31
3140,Fondo social,31
3205,"Prima en colocación de acciones, cuotas o partes de interés social",32
3210,Donaciones,32
3215,Crédito mercantil,32
3220,Know how,32
3225,Superávit método de participación,32
3305,Reservas obligatorias,33
3310,Reservas estatutarias,33
3315,Reservas ocasionales,33
3405,Ajustes por inflación,34
3410,Saneamiento fiscal,34
3415,Ajustes por inflación Decreto 3019 de 1989,34
3505,Dividendos decretados en acciones,35
3510,Participaciones decretadas en cuotas o partes de interés social,35
3605,Utilidad del ejercicio,36
3610,Pérdida del ejercicio,36
3705,Utilidades acumuladas,37
3710,Pérdidas acumuladas,37
3805,De inversiones,38
3810,"De propiedades, planta y equipo",38
3895,De otros activos,38
4105,"Agricultura, ganadería, caza y silvicultura",41
4110,Pesca,41
4115,Explotación de minas y canteras,41
4120,Industrias manufactureras,41
4125,"Suministro de electricidad, gas y agua",41
4130,Construcción,41
4135,Comercio al por mayor y al por menor,41
4140,Hoteles y restaurantes,41
4145,"Transporte, almacenamiento y comunicaciones",41
4150,Actividad financiera,41
4155,"Actividades inmobiliarias, empresariales y de alquiler",41
4160,Enseñanza,41
4165,Servicios sociales y de salud,41
4170,"Otras actividades de servicios comunitarios, sociales y personales",41
4175,Devoluciones en ventas (DB),41
4205,Otras ventas,42
4210,Financieros,42
4215,Dividendos y participaciones,42
4218,Ingresos método de participación,42
4220,Arrendamientos,42
4225,Comisiones,42
4230,Honorarios,42
4235,Servicios,42
4240,Utilidad en venta de inversiones,42
4245,"Utilidad en venta de propiedades, planta y equipo",42
4248,Utilidad en venta de otros bienes,42
4250,Recuperaciones,42
4255,Indemnizaciones,42
4260,Participaciones en concesiones,42
4265,Ingresos de ejercicios anteriores,42
4275,Devoluciones en otras ventas (DB),42
4295,Diversos,42
4705,Corrección monetaria,47
5105,Gastos de personal,51
5110,Honorarios,51
5115,Impuestos,51
5120,Arrendamientos,51
5125,Contribuciones y afiliaciones,51
5130,Seguros,51
5135,Servicios,51
5140,Gastos legales,51
5145,Mantenimiento y reparaciones,51
5150,Adecuación e instalación,51
5155,Gastos de viaje,51
5160,Depreciaciones,51
5165,Amortizaciones,51
5195,Diversos,51
5199,Provisiones,51
5205,Gastos de personal,52
5210,Honorarios,52
5215,Impuestos,52
5220,Arrendamientos,52
5225,Contribuciones y afiliaciones,52
5230,Seguros,52
5235,Servicios,52
5240,Gastos legales,52
5245,Mantenimiento y reparaciones,52
5250,Adecuación e instalación,52
5255,Gastos de viaje,52
5260,Depreciaciones,52
5265,Amortizaciones,52
5270,Financieros-reajuste del sistema,52
5275,Pérdidas método de participación,52
5295,Diversos,52
5299,Provisiones,52
5305,Financieros,53
5310,Pérdida en venta y retiro de bienes,53
5313,Pérdidas método de participación,53
5315,Gastos extraordinarios,53
5395,Gastos diversos,53
5405,Impuesto de renta y complementarios,54
5905,Ganancias y pérdidas,59
6105,"Agricultura, ganadería, caza y silvicultura",61
6110,Pesca,61
6115,Explotación de minas y canteras,61
6120,Industrias manufactureras,61
6125,"Suministro de electricidad, gas y agua",61
6130,Construcción,61
6135,Comercio al por mayor y al por menor,61
6140,Hoteles y restaurantes,61
6145,"Transporte, almacenamiento y comunicaciones",61
6150,Actividad financiera,61
6155,"Actividades inmobiliarias, empresariales y de alquiler",61
6160,Enseñanza,61
6165,Servicios sociales y de salud,61
6170,"Otras actividades de servicios comunitarios, sociales y personales",61
6205,De mercancías,62
6210,De materias primas,62
6215,De materiales indirectos,62
6220,Compra de energía,62
6225,Devoluciones en compras (CR),62
7100,Materia prima (Generico),71
7200,Mano de obra directa (Generico),72
7300,Costos indirectos (Generico),73
7400,Contratos de servicios (Generico),74
